City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
173,Butaritari,KI,3.07,172.79,83.34,80,62,15.64,light rain,0.23,0.0
174,Barcelos,PT,41.54,-8.62,68.0,60,20,9.17,few clouds,0.0,0.0
175,Alice Springs,AU,-23.7,133.88,44.6,30,0,6.93,clear sky,0.0,0.0
176,Padang,ID,-0.95,100.35,80.64,79,60,3.0,broken clouds,0.0,0.0
177,Hofn,IS,64.25,-15.21,44.6,70,75,9.17,broken clouds,0.0,0.0
178,Belmonte,BR,-15.86,-38.88,80.6,65,40,6.93,scattered clouds,0.0,0.0
179,Labuhan,ID,-6.88,112.21,78.46,84,99,6.64,overcast clouds,0.0,0.0
180,Salamanca,ES,40.83,-6.0,66.0,93,40,8.05,light rain,0.0,0.0
181,Znamenskoye,RU,57.13,73.83,70.75,39,6,2.84,clear sky,0.0,0.0
182,Smolenka,RU,52.14,113.5,32.0,73,23,6.71,few clouds,0.0,0.0
183,Ambon,ID,-3.7,128.18,80.01,100,98,4.0,overcast clouds,0.0,0.0
184,Northam,GB,51.03,-4.22,55.0,58,9,8.99,clear sky,0.0,0.0
185,Boda,CF,4.32,17.47,75.88,88,64,3.98,moderate rain,1.18,0.0
186,Halifax,CA,44.65,-63.57,37.4,93,90,17.22,overcast clouds,0.0,0.0
187,Torbay,CA,47.67,-52.73,44.6,75,75,24.16,broken clouds,0.0,0.0
188,Pangnirtung,CA,66.15,-65.71,30.2,74,75,11.41,broken clouds,0.0,0.0
189,Husavik,IS,66.04,-17.34,53.6,40,40,33.33,scattered clouds,0.0,0.0
190,Marystown,CA,47.17,-55.15,36.9,86,100,23.06,overcast clouds,0.0,0.0
191,Abu Dhabi,AE,24.47,54.37,86.0,30,0,21.92,clear sky,0.0,0.0
192,Ilulissat,GL,69.22,-51.1,39.2,80,75,3.36,broken clouds,0.0,0.0
193,Martapura,ID,-3.42,114.85,80.6,94,90,3.36,overcast clouds,0.0,0.0
194,San Quintin,MX,30.48,-115.95,65.64,69,7,17.52,clear sky,0.0,0.0
195,Saint-Augustin,CA,51.23,-58.65,38.08,97,100,8.63,light rain,0.18,0.0
196,Jumla,NP,29.27,82.18,53.94,67,99,2.35,light rain,0.13,0.0
197,Ribeira Grande,PT,38.52,-28.7,62.6,59,40,17.22,scattered clouds,0.0,0.0
198,Mandalgovi,MN,45.76,106.27,57.65,39,100,12.08,overcast clouds,0.0,0.0
199,Malkapur,IN,20.88,76.2,95.88,22,0,5.79,clear sky,0.0,0.0
200,Hilo,US,19.73,-155.09,68.0,72,1,4.7,clear sky,0.0,0.0
201,Divnomorskoye,RU,44.5,38.14,51.62,68,0,8.63,clear sky,0.0,0.0
202,Luderitz,NA,-26.65,15.16,66.2,59,34,16.11,scattered clouds,0.0,0.0
203,Sao Joao Da Barra,BR,-21.64,-41.05,82.4,54,0,6.93,clear sky,0.0,0.0
204,Charters Towers,AU,-20.1,146.27,60.96,87,4,6.78,clear sky,0.0,0.0
205,Gat,IL,31.61,34.76,79.0,42,100,10.45,overcast clouds,0.0,0.0
206,Port Lincoln,AU,-34.73,135.87,53.76,67,85,7.63,overcast clouds,0.0,0.0
207,Cooma,AU,-36.23,149.13,41.0,100,90,11.41,overcast clouds,0.0,0.0
208,Westport,US,41.14,-73.36,55.0,34,1,16.11,clear sky,0.0,0.0
209,Inta,RU,66.03,60.17,57.34,74,98,21.25,overcast clouds,0.0,0.0
210,Hamilton,US,39.18,-84.53,57.99,58,90,6.93,overcast clouds,0.0,0.0
211,Nikolskoye,RU,59.7,30.79,50.0,65,75,2.24,broken clouds,0.0,0.0
212,Morehead,US,37.27,-87.18,55.4,100,90,6.93,light rain,0.0,0.0
213,Beira,MZ,-19.84,34.84,71.6,88,0,5.82,clear sky,0.0,0.0
214,Dunedin,NZ,-45.87,170.5,48.99,90,100,1.01,overcast clouds,0.0,0.0
215,Hami,CN,42.8,93.45,74.68,19,41,13.98,scattered clouds,0.0,0.0
216,Santa Rosa,PH,14.31,121.11,86.0,74,20,5.82,few clouds,0.0,0.0
217,Opuwo,NA,-18.06,13.84,71.83,33,43,4.32,scattered clouds,0.0,0.0
218,Avera,US,33.19,-82.53,77.0,44,90,6.93,haze,0.0,0.0
219,Hithadhoo,MV,-0.6,73.08,84.27,77,74,8.79,moderate rain,1.25,0.0
220,Mayo,US,38.89,-76.51,66.99,71,20,10.29,few clouds,0.0,0.0
221,Alyangula,AU,-13.85,136.42,77.0,83,90,10.2,overcast clouds,0.0,0.0
222,Kilimatinde,TZ,-5.85,34.95,71.29,71,84,2.66,broken clouds,0.0,0.0
223,Orlik,RU,52.52,99.83,44.69,59,54,2.24,broken clouds,0.0,0.0
224,Chokurdakh,RU,70.63,147.92,33.17,97,94,6.96,overcast clouds,0.0,0.0
225,Katsuura,JP,35.13,140.3,66.2,34,0,14.99,clear sky,0.0,0.0
226,Kruisfontein,ZA,-34.0,24.73,58.59,82,0,15.43,clear sky,0.0,0.0
227,Verkhnyaya Inta,RU,65.98,60.31,56.79,75,97,21.12,overcast clouds,0.0,0.0
228,Clyde River,CA,70.47,-68.59,24.8,92,40,4.7,scattered clouds,0.0,0.0
229,Kavaratti,IN,10.57,72.64,86.13,74,39,7.99,scattered clouds,0.0,0.0
230,Tougan,BF,13.07,-3.07,103.17,20,20,2.42,few clouds,0.0,0.0
231,Norwich,GB,52.63,1.3,51.01,57,40,16.11,scattered clouds,0.0,0.0
232,Cabedelo,BR,-6.98,-34.83,84.2,79,75,10.29,broken clouds,0.0,0.0
233,Zunyi,CN,27.69,106.91,65.5,95,100,5.19,moderate rain,1.18,0.0
234,Derazhnya,UA,49.27,27.43,52.66,67,40,8.95,scattered clouds,0.0,0.0
235,Tiarei,PF,-17.53,-149.33,77.0,83,20,4.7,few clouds,0.0,0.0
236,Phultala,BD,22.7,89.52,82.08,65,3,7.74,clear sky,0.0,0.0
237,Geraldton,AU,-28.77,114.6,59.0,67,1,10.29,clear sky,0.0,0.0
238,Yulara,AU,-25.24,130.99,50.0,34,0,8.05,clear sky,0.0,0.0
239,Acari,PE,-15.43,-74.62,75.65,54,62,8.77,broken clouds,0.0,0.0
240,Baglung,NP,28.27,83.59,66.96,56,89,4.99,overcast clouds,0.0,0.0
241,Lubaczow,PL,50.16,23.12,52.0,61,90,3.0,light rain,0.17,0.0
242,Saint Peter,BB,13.25,-59.62,87.8,58,75,24.16,broken clouds,0.0,0.0
243,Trelleborg,SE,55.38,13.16,50.0,25,0,12.75,clear sky,0.0,0.0
244,Khatanga,RU,71.97,102.5,19.94,98,79,6.8,broken clouds,0.0,0.0
245,Touros,BR,-5.2,-35.46,84.2,74,75,12.75,broken clouds,0.0,0.0
246,Cockburn Town,TC,21.46,-71.14,80.15,79,56,14.38,broken clouds,0.0,0.0
247,Dannenberg,DE,53.1,11.09,55.99,66,90,10.0,light rain,0.65,0.0
248,Sterling,US,39.01,-77.43,66.0,25,20,6.67,few clouds,0.0,0.0
249,Kaitangata,NZ,-46.28,169.85,48.0,89,96,1.99,overcast clouds,0.0,0.0
250,College,US,64.86,-147.8,51.8,40,75,12.75,broken clouds,0.0,0.0
251,Mount Isa,AU,-20.73,139.5,66.2,24,0,13.87,clear sky,0.0,0.0
252,Katangli,RU,51.71,143.23,36.1,97,100,12.06,overcast clouds,0.0,0.0
253,Point Pleasant,US,40.08,-74.07,57.2,26,1,11.41,clear sky,0.0,0.0
254,Cidreira,BR,-30.18,-50.21,66.63,92,100,13.53,light rain,0.25,0.0
255,Vavoua,CI,7.38,-6.48,92.43,43,21,4.68,few clouds,0.0,0.0
256,Saldanha,ZA,-33.01,17.94,64.4,59,4,6.93,clear sky,0.0,0.0
257,Ostrovnoy,RU,68.05,39.51,32.27,98,100,33.8,snow,0.0,4.84
258,Baijiantan,CN,45.63,85.18,78.49,27,27,12.5,scattered clouds,0.0,0.0
259,Sisimiut,GL,66.94,-53.67,40.86,84,100,2.73,overcast clouds,0.0,0.0
260,Puerto Penasco,MX,31.32,-113.53,75.2,53,5,4.7,clear sky,0.0,0.0
