,Country,Income_Per_Capita,Population_Total,Population_Median_Age,Percent_Population_over_60,Percent_Goverment_Expenditure_on_Health,Female_Life_Expectancy,Male_Life_Expectancy,Liters_of_Alcohol,Percent_Population_Access_To_Clean_Water,Cell_phones_per_100_people,Cell_phones_total,Measles_immunization
40,"Congo, Rep.",2420.0,3689.0,19.0,5.0,4.0,47.0,45.0,2.6,71.0,12.3,383653.0,56.0
42,Costa Rica,9220.0,4399.0,26.0,8.0,21.5,69.0,65.0,5.65,98.0,25.4,923084.0,89.0
43,Cote d'Ivoire,1580.0,18914.0,19.0,5.0,4.1,41.0,38.0,1.77,81.0,12.9,1531846.0,51.0
44,Croatia,13850.0,4556.0,41.0,22.0,13.9,69.0,64.0,12.25,99.0,80.2,2553000.0,96.0
46,Cyprus,25060.0,846.0,35.0,17.0,6.4,68.0,67.0,11.52,100.0,86.1,640515.0,86.0
47,Czech Republic,20920.0,10189.0,39.0,20.0,13.6,71.0,66.0,12.99,100.0,115.2,10800000.0,97.0
48,Denmark,36190.0,5430.0,40.0,22.0,15.6,71.0,69.0,11.71,100.0,100.3,5165546.0,95.0
49,Djibouti,2180.0,819.0,20.0,5.0,13.4,43.0,43.0,1.79,92.0,6.4,23000.0,65.0
51,Dominican Republic,5550.0,9615.0,24.0,8.0,9.5,62.0,57.0,6.66,95.0,40.7,2534063.0,99.0
52,Ecuador,6810.0,13202.0,24.0,9.0,7.3,64.0,60.0,2.36,95.0,47.2,4544174.0,93.0
53,Egypt,4940.0,74166.0,23.0,7.0,7.3,60.0,58.0,0.21,98.0,19.1,7643060.0,98.0
54,El Salvador,5610.0,6762.0,24.0,8.0,15.6,62.0,57.0,3.72,84.0,35.0,1832579.0,99.0
55,Equatorial Guinea,16620.0,496.0,19.0,6.0,7.0,46.0,45.0,3.38,43.0,19.3,55500.0,51.0
56,Eritrea,680.0,4692.0,18.0,4.0,4.2,51.0,49.0,0.59,60.0,0.9,20000.0,84.0
57,Estonia,18090.0,1340.0,39.0,22.0,11.3,69.0,59.0,9.0,100.0,108.8,1255731.0,96.0
58,Ethiopia,630.0,81021.0,18.0,5.0,10.6,42.0,41.0,0.86,42.0,0.5,178000.0,59.0
59,Fiji,4450.0,833.0,24.0,7.0,9.1,61.0,57.0,1.72,47.0,24.2,109882.0,70.0
60,Finland,33170.0,5261.0,41.0,22.0,12.1,74.0,69.0,9.31,100.0,100.4,4988000.0,97.0
61,France,32240.0,61330.0,39.0,21.0,16.7,75.0,69.0,11.43,100.0,79.5,44600000.0,87.0
63,Gabon,11180.0,1311.0,22.0,7.0,13.9,53.0,50.0,8.01,87.0,47.1,489367.0,55.0
64,Gambia,1110.0,1663.0,20.0,6.0,8.7,51.0,48.0,2.59,86.0,16.3,175000.0,84.0
65,Georgia,3880.0,4433.0,36.0,18.0,5.6,67.0,62.0,1.47,99.0,26.3,840600.0,92.0
66,Germany,32680.0,82641.0,42.0,25.0,17.6,74.0,70.0,11.99,100.0,95.8,71300000.0,93.0
67,Ghana,1240.0,23008.0,20.0,6.0,6.8,50.0,49.0,1.57,80.0,13.0,1695000.0,83.0
68,Greece,30870.0,11123.0,40.0,23.0,11.5,73.0,69.0,9.01,100.0,92.3,11000000.0,88.0
69,Grenada,8770.0,106.0,23.0,10.0,9.5,60.0,58.0,6.67,94.0,45.5,37898.88,99.0
70,Guatemala,5120.0,13029.0,18.0,6.0,14.7,60.0,55.0,1.46,96.0,35.8,3168256.0,77.0
71,Guinea,1130.0,9181.0,18.0,5.0,4.7,46.0,44.0,0.2,70.0,2.4,111500.0,59.0
72,Guinea-Bissau,460.0,1646.0,16.0,5.0,4.0,41.0,40.0,2.19,57.0,7.1,1275.0,80.0
73,Guyana,3410.0,739.0,27.0,9.0,8.3,57.0,53.0,3.84,93.0,37.5,143945.0,92.0
74,Haiti,1070.0,9446.0,21.0,6.0,29.8,44.0,43.0,8.3,58.0,5.9,400000.0,54.0
75,Honduras,3420.0,6969.0,20.0,6.0,15.0,61.0,56.0,2.92,84.0,17.8,707201.0,92.0
77,Hungary,16970.0,10058.0,39.0,21.0,10.4,68.0,62.0,13.6,100.0,92.3,8727188.0,99.0
78,Iceland,33740.0,298.0,35.0,16.0,18.1,74.0,72.0,6.99,100.0,103.4,291372.0,90.0
79,India,2460.0,1151751.0,24.0,8.0,3.4,54.0,53.0,0.29,89.0,8.2,47300000.0,58.0
80,Indonesia,3310.0,228864.0,27.0,8.0,5.3,59.0,57.0,0.09,80.0,21.1,30000000.0,72.0
81,Iran (Islamic Republic of),9800.0,70270.0,24.0,6.0,9.2,59.0,56.0,0.0,94.0,10.4,4300000.0,94.0
84,Israel,23840.0,6810.0,29.0,13.0,11.1,72.0,70.0,2.47,100.0,112.4,7187500.0,95.0
86,Jamaica,7050.0,2699.0,25.0,10.0,4.2,66.0,64.0,1.74,93.0,105.8,2200000.0,84.0
87,Japan,32840.0,127953.0,43.0,27.0,17.7,78.0,72.0,7.59,100.0,75.3,91500000.0,99.0
88,Jordan,4820.0,5729.0,21.0,5.0,9.5,62.0,60.0,0.31,98.0,55.0,1594513.0,95.0
89,Kazakhstan,8700.0,15314.0,29.0,10.0,10.4,59.0,53.0,2.96,96.0,36.4,2758940.0,99.0
90,Kenya,1470.0,36553.0,18.0,4.0,6.1,45.0,44.0,1.51,57.0,13.5,2546157.0,69.0
